Login=Login|Login
Ingresar=Ingresar|Enter
Usuario o contraseña invalida=Usuario o contraseña inválida|Invalid username or password
ADVERTENCIA=ADVERTENCIA|WARNING
Bienvenido=Bienvenido|Welcome
Configuración del Sistema=Configuración del Sistema|System Configuration
Configuración General=Configuración General|General Configuration
Idioma=Idioma|Language
BackUp=BackUp|BackUp
Datos de la Empresa=Datos de la Empresa|Company Data
Razón Social=Razón Social|Business Name
CUIT=CUIT|CUIT
Tipo IVA=Tipo IVA|VAT Type
Dirección=Dirección|Address
Localidad=Localidad|City
Provincia=Provincia|Province
Email=Email|Email
Teléfono=Teléfono|Phone
Guardar Configuración=Guardar Configuración|Save Configuration
Selección de Idioma=Selección de Idioma|Language Selection
Idioma Actual=Idioma Actual|Current Language
Español=Español|Spanish
Inglés=Inglés|English
Cambiar Idioma=Cambiar Idioma|Change Language
Operaciones=Operaciones|Operations
Crear Backup=Crear Backup|Create Backup
Restaurar Backup=Restaurar Backup|Restore Backup
Historial de Backups=Historial de Backups|Backup History
Listo=Listo|Ready
RESPONSABLE INSCRIPTO=RESPONSABLE INSCRIPTO|REGISTERED TAXPAYER
MONOTRIBUTISTA=MONOTRIBUTISTA|MONOTRIBUTISTA
EXENTO=EXENTO|EXEMPT
CONSUMIDOR FINAL=CONSUMIDOR FINAL|FINAL CONSUMER
NO RESPONSABLE=NO RESPONSABLE|NOT RESPONSIBLE
(Sin provincia)=(Sin provincia)|(No province)
Éxito=Éxito|Success
Configuración guardada exitosamente=Configuración guardada exitosamente|Configuration saved successfully
Error al guardar configuración=Error al guardar configuración|Error saving configuration
Error al cargar configuración de idioma=Error al cargar configuración de idioma|Error loading language configuration
Configuración Requerida=Configuración Requerida|Configuration Required
No se encontró configuración del sistema.=No se encontró configuración del sistema.|No system configuration found.
Por favor, complete primero los datos de configuración en la pestaña 'Configuración General'.=Por favor, complete primero los datos de configuración en la pestaña 'Configuración General'.|Please complete the configuration data first in the 'General Configuration' tab.
Cambio de Idioma=Cambio de Idioma|Language Change
Idioma cambiado a=Idioma cambiado a|Language changed to
El cambio se ha guardado en la configuración del sistema.=El cambio se ha guardado en la configuración del sistema.|The change has been saved in the system configuration.
La aplicación se reiniciará para aplicar los cambios.=La aplicación se reiniciará para aplicar los cambios.|The application will restart to apply the changes.
Error al cambiar idioma=Error al cambiar idioma|Error changing language
Guardar Backup=Guardar Backup|Save Backup
SistemaPresupuestario_Backup_=SistemaPresupuestario_Backup_|BudgetSystem_Backup_
Creando backup... Por favor espere.=Creando backup... Por favor espere.|Creating backup... Please wait.
Backup creado exitosamente en=Backup creado exitosamente en|Backup created successfully at
Error al crear el backup=Error al crear el backup|Error creating backup
Por favor, seleccione un backup del historial para restaurar.=Por favor, seleccione un backup del historial para restaurar.|Please select a backup from history to restore.
Advertencia=Advertencia|Warning
No se pudo obtener la ruta del archivo de backup.=No se pudo obtener la ruta del archivo de backup.|Could not get the backup file path.
Error=Error|Error
El archivo de backup no existe en la ruta=El archivo de backup no existe en la ruta|The backup file does not exist at path
Es posible que haya sido movido o eliminado.=Es posible que haya sido movido o eliminado.|It may have been moved or deleted.
Archivo no encontrado=Archivo no encontrado|File not found
⚠️ ADVERTENCIA CRÍTICA ⚠️=⚠️ ADVERTENCIA CRÍTICA ⚠️|⚠️ CRITICAL WARNING ⚠️
Esta operación reemplazará TODOS los datos actuales de la base de datos.=Esta operación reemplazará TODOS los datos actuales de la base de datos.|This operation will replace ALL current database data.
Se perderán todos los cambios realizados desde el backup seleccionado.=Se perderán todos los cambios realizados desde el backup seleccionado.|All changes made since the selected backup will be lost.
Archivo a restaurar=Archivo a restaurar|File to restore
La aplicación se reiniciará automáticamente después de la restauración.=La aplicación se reiniciará automáticamente después de la restauración.|The application will restart automatically after restoration.
¿Está SEGURO de que desea continuar?=¿Está SEGURO de que desea continuar?|Are you SURE you want to continue?
Confirmar Restauración=Confirmar Restauración|Confirm Restoration
Restaurando backup... Por favor espere. NO CIERRE LA APLICACIÓN.=Restaurando backup... Por favor espere. NO CIERRE LA APLICACIÓN.|Restoring backup... Please wait. DO NOT CLOSE THE APPLICATION.
Restauración completada exitosamente.=Restauración completada exitosamente.|Restoration completed successfully.
La aplicación se reiniciará ahora.=La aplicación se reiniciará ahora.|The application will restart now.
Restauración Exitosa=Restauración Exitosa|Restoration Successful
Error al restaurar el backup=Error al restaurar el backup|Error restoring backup
Selector=Selector|Selector
Buscar=Buscar|Search
Seleccionar=Seleccionar|Select
Cancelar=Cancelar|Cancel
Total registros=Total registros|Total records
Debe seleccionar un elemento=Debe seleccionar un elemento|You must select an element
Validación=Validación|Validation
Debe seleccionar al menos un elemento=Debe seleccionar al menos un elemento|You must select at least one element
Gestión de Vendedores=Gestión de Vendedores|Vendor Management
Código=Código|Code
Nombre=Nombre|Name
Nombre:=Nombre:|Name:
Comisión %=Comisión %|Commission %
Estado=Estado|Status
Nuevo=Nuevo|New
Editar=Editar|Edit
Desactivar=Desactivar|Deactivate
Reactivar=Reactivar|Reactivate
Cerrar=Cerrar|Close
Solo ver activos=Solo ver activos|Show active only
Debe seleccionar un vendedor para editar=Debe seleccionar un vendedor para editar|You must select a vendor to edit
Debe seleccionar un vendedor para desactivar=Debe seleccionar un vendedor para desactivar|You must select a vendor to deactivate
¿Está seguro que desea desactivar el vendedor=¿Está seguro que desea desactivar el vendedor|Are you sure you want to deactivate the vendor
Confirmar Eliminación=Confirmar Eliminación|Confirm Deletion
Vendedor desactivado exitosamente=Vendedor desactivado exitosamente|Vendor deactivated successfully
Error al desactivar vendedor=Error al desactivar vendedor|Error deactivating vendor
Debe seleccionar un vendedor para reactivar=Debe seleccionar un vendedor para reactivar|You must select a vendor to reactivate
El vendedor ya está activo=El vendedor ya está activo|The vendor is already active
Información=Información|Information
Vendedor reactivado exitosamente=Vendedor reactivado exitosamente|Vendor reactivated successfully
Error al reactivar vendedor=Error al reactivar vendedor|Error reactivating vendor
Vendedor=Vendedor|Vendor
Datos Básicos=Datos Básicos|Basic Data
Código Vendedor=Código Vendedor|Vendor Code
Código Vendedor:=Código Vendedor:|Vendor Code:
% Comisión (0-100):=% Comisión (0-100):|% Commission (0-100):
Datos Comerciales=Datos Comerciales|Commercial Data
Datos de Contacto (Opcional)=Datos de Contacto (Opcional)|Contact Data (Optional)
Aceptar=Aceptar|Accept
Gestión de Productos=Gestión de Productos|Product Management
Descripción=Descripción|Description
IVA=IVA|VAT
Fecha Alta=Fecha Alta|Registration Date
Inhabilitar=Inhabilitar|Disable
Producto=Producto|Product
Datos del Producto=Datos del Producto|Product Data
Inhabilitado=Inhabilitado|Disabled
Gestión de Clientes=Gestión de Clientes|Client Management
Razón Social=Razón Social|Business Name
Documento=Documento|Document
Cliente=Cliente|Client
Tipo=Tipo|Type
Número=Número|Number
Alícuota ARBA=Alícuota ARBA|ARBA Rate
Condición Pago=Condición Pago|Payment Condition
01 - Contado=01 - Contado|01 - Cash
02 - 30 días=02 - 30 días|02 - 30 days
03 - 60 días=03 - 60 días|03 - 60 days
04 - 90 días=04 - 90 días|04 - 90 days
05 - 120 días=05 - 120 días|05 - 120 days
Gestión de Usuarios=Gestión de Usuarios|User Management
Eliminar=Eliminar|Delete
Seleccione un usuario para editar=Seleccione un usuario para editar|Select a user to edit
Seleccione un usuario para eliminar=Seleccione un usuario para eliminar|Select a user to delete
¿Está seguro que desea eliminar al usuario=¿Está seguro que desea eliminar al usuario|Are you sure you want to delete the user
Confirmar eliminación=Confirmar eliminación|Confirm deletion
Usuario eliminado exitosamente=Usuario eliminado exitosamente|User deleted successfully
Error al eliminar usuario=Error al eliminar usuario|Error deleting user
Nuevo Usuario=Nuevo Usuario|New User
Editar Usuario=Editar Usuario|Edit User
El nombre es requerido=El nombre es requerido|Name is required
El usuario es requerido=El usuario es requerido|User is required
La contraseña es requerida=La contraseña es requerida|Password is required
Usuario creado exitosamente=Usuario creado exitosamente|User created successfully
Usuario actualizado exitosamente=Usuario actualizado exitosamente|User updated successfully
Error al guardar usuario=Error al guardar usuario|Error saving user
Gestión de Cotizaciones=Gestión de Cotizaciones|Budget Management
Aprobar Cotizaciones=Aprobar Cotizaciones|Approve Budgets
Borrado=Borrado|Deleted
Emitido=Emitido|Issued
Aprobado=Aprobado|Approved
